#time,accel_x,accel_y,accel_z
445.053648,-8956.491898,-1184.329507,-612.876398
445.053964,-8438.347739,-1776.494261,-536.266849
445.054280,-7550.100608,-2368.659014,-612.876398
445.054596,-8512.368333,-2590.720797,842.705048
445.054912,-8290.306550,-4219.173869,2451.505594
445.055227,-9178.553681,-3627.009116,4136.915689
445.055543,-10510.924376,-2960.823768,6128.763984
445.055859,-10288.862594,-3478.967927,8350.440928
445.056175,-10584.944971,-3849.070898,9039.926876
445.056491,-10214.842000,-3478.967927,8427.050478
445.056806,-9178.553681,-3849.070898,7814.174080
445.057122,-9622.677246,-4959.379811,6894.859482
445.057438,-8142.265362,-4811.338623,4903.011187
445.057754,-8882.471304,-5329.482782,3600.648841
445.058069,-6883.915261,-5181.441594,1532.190996
445.058385,-7179.997637,-5329.482782,-459.657299
445.058701,-8734.430116,-3478.967927,-1225.752797
445.059017,-8216.285956,-3923.091493,-1378.971896
445.059333,-7772.162391,-1850.514855,-919.314598
445.059648,-9474.636058,0.000000,-229.828649
445.059964,-10955.047942,444.123565,842.705048
445.060280,-9918.759623,1924.535449,689.485948
445.060596,-10732.986159,2442.679609,536.266849
445.060911,-11843.295072,3552.988522,766.095498
445.061227,-11473.192101,3182.885551,-383.047749
445.061543,-11103.089130,3330.926739,-2757.943793
445.061859,-9992.780217,2220.617826,-4673.182538
445.062175,-9252.574275,1480.411884,-6511.811733
445.062490,-8734.430116,1406.391290,-8197.221829
445.062806,-7994.224174,3256.906145,-8810.098227
445.063122,-8290.306550,2886.803174,-7737.564530
445.063438,-8734.430116,3849.070898,-7967.393179
445.063754,-9474.636058,2368.659014,-6205.373534
445.064069,-10955.047942,2664.741391,-5132.839837
445.064385,-9030.512492,4293.194464,-3907.087040
445.064701,-12435.459826,4515.256246,-1608.800546
445.065017,-10658.965565,5847.626942,0.000000
445.065332,-11769.274478,3478.967927,383.047749
445.065648,-10658.965565,2368.659014,1072.533697
445.065964,-10140.821405,-370.102971,995.924147
445.066280,-9548.656652,222.061783,689.485948
445.066596,-8216.285956,-1110.308913,383.047749
445.066911,-8290.306550,-1924.535449,459.657299
445.067227,-8734.430116,-3330.926739,612.876398
445.067543,-6957.935855,-3182.885551,459.657299
445.067859,-7402.059420,-3552.988522,2451.505594
445.068174,-8808.450710,-3552.988522,3983.696590
445.068490,-9992.780217,-2886.803174,5822.325785
445.068806,-9844.739029,-3552.988522,7507.735880
445.069122,-10288.862594,-3108.864956,8427.050478
445.069438,-10510.924376,-3330.926739,7967.393179
445.069753,-9622.677246,-3552.988522,7584.345430
445.070069,-10066.800811,-3849.070898,7048.078582
445.070385,-8808.450710,-4367.215058,5592.497135
445.070701,-9474.636058,-5033.400406,4519.963438
445.071016,-7698.141797,-4663.297435,2681.334243
445.071332,-8142.265362,-5773.606348,766.095498
445.071648,-6513.812290,-3330.926739,0.000000
445.071964,-7550.100608,-3182.885551,-919.314598
445.072280,-7550.100608,-1480.411884,-1072.533697
445.072595,-9252.574275,-888.247130,-919.314598
445.072911,-10140.821405,-888.247130,-306.438199
445.073227,-9622.677246,666.185348,-766.095498
445.073543,-10881.027347,2294.638420,-995.924147
445.073859,-11695.253884,2664.741391,0.000000
445.074174,-11843.295072,3256.906145,-689.485948
445.074490,-10732.986159,2812.782580,-2221.676944
445.074806,-10140.821405,1850.514855,-3983.696590
445.075122,-9548.656652,2590.720797,-5515.887586
445.075437,-9696.697840,2368.659014,-6894.859482
445.075753,-9104.533087,4071.132681,-7124.688131
445.076069,-9326.594869,1850.514855,-7660.954980
445.076385,-8068.244768,3034.844362,-6971.469032
445.076701,-9178.553681,2738.761985,-6511.811733
445.077016,-10140.821405,2886.803174,-5745.716235
445.077332,-8586.388927,3627.009116,-4596.572988
445.077648,-10584.944971,4441.235652,-2911.162892
445.077964,-10288.862594,3923.091493,-919.314598
445.078279,-10436.903782,3256.906145,-536.266849
445.078595,-10362.883188,2220.617826,689.485948
445.078911,-10510.924376,444.123565,1225.752797
445.079227,-9622.677246,74.020594,383.047749
445.079543,-10066.800811,-888.247130,919.314598
445.079858,-8364.327145,-1036.288319,1302.362347
445.080174,-8142.265362,-2368.659014,1225.752797
445.080490,-8808.450710,-2442.679609,1762.019645
445.080806,-8808.450710,-3108.864956,3447.429741
445.081122,-8956.491898,-3182.885551,4673.182538
445.081437,-10140.821405,-3108.864956,6128.763984
445.081753,-10510.924376,-3182.885551,7507.735880
445.082069,-10436.903782,-4293.194464,7584.345430
445.082385,-9770.718434,-2960.823768,7737.564530
445.082700,-9844.739029,-5255.462188,7814.174080
445.083016,-9622.677246,-4811.338623,6128.763984
445.083332,-7994.224174,-5033.400406,4903.011187
445.083648,-8956.491898,-4663.297435,4290.134789
445.083964,-7328.038826,-5107.421000,1608.800546
445.084279,-7550.100608,-5699.585753,0.000000
445.084595,-7328.038826,-3330.926739,-689.485948
445.084911,-8068.244768,-3256.906145,-842.705048
445.085227,-8734.430116,-888.247130,-229.828649
445.085542,-9178.553681,-296.082377,0.000000
445.085858,-10510.924376,592.164754,383.047749
445.086174,-10658.965565,1110.308913,0.000000
445.086490,-11399.171507,2664.741391,459.657299
445.086806,-11103.089130,2738.761985,306.438199
445.087121,-11325.150913,3108.864956,-995.924147
445.087437,-10510.924376,2072.576638,-2451.505594
445.087753,-10436.903782,2072.576638,-4290.134789
445.088069,-9252.574275,1924.535449,-5745.716235
