#time,accel_x,accel_y,accel_z
534.343860,-9770.718434,-1776.494261,229.828649
534.344176,-10066.800811,-2146.597232,612.876398
534.344491,-9474.636058,-962.267725,153.219100
534.344807,-8734.430116,-962.267725,0.000000
534.345123,-8734.430116,-2072.576638,766.095498
534.345438,-10214.842000,-1924.535449,76.609550
534.345754,-10066.800811,-2368.659014,0.000000
534.346070,-10436.903782,-1406.391290,-153.219100
534.346386,-9992.780217,-2146.597232,229.828649
534.346701,-10214.842000,-1110.308913,0.000000
534.347017,-9696.697840,-1554.432478,76.609550
534.347333,-11325.150913,-444.123565,689.485948
534.347648,-12139.377449,-740.205942,1225.752797
534.347964,-11399.171507,-666.185348,1915.238745
534.348280,-11621.233289,-444.123565,1302.362347
534.348596,-11769.274478,0.000000,1838.629195
534.348911,-12435.459826,0.000000,2298.286494
534.349227,-11769.274478,-296.082377,1762.019645
534.349543,-11547.212695,-1184.329507,2987.772442
534.349858,-10362.883188,-1554.432478,0.000000
534.350174,-10510.924376,-1628.453072,-536.266849
534.350490,-10066.800811,-1332.370696,0.000000
534.350806,-9770.718434,-2664.741391,-383.047749
534.351121,-8808.450710,-4219.173869,-1608.800546
534.351437,-8216.285956,-3330.926739,-2374.896044
534.351753,-8438.347739,-2738.761985,-1762.019645
534.352069,-8142.265362,-2294.638420,-1532.190996
534.352384,-7994.224174,-2146.597232,-2604.724693
534.352700,-7402.059420,-2294.638420,-1225.752797
534.353016,-7624.121203,-2294.638420,-766.095498
534.353331,-8142.265362,-1554.432478,-612.876398
534.353647,-7920.203579,-592.164754,-459.657299
534.353963,-8142.265362,-444.123565,-536.266849
534.354279,-7920.203579,74.020594,0.000000
534.354594,-8068.244768,518.144159,0.000000
534.354910,-8068.244768,1184.329507,306.438199
534.355226,-7698.141797,1036.288319,689.485948
534.355541,-7624.121203,1110.308913,76.609550
534.355857,-7846.182985,1036.288319,459.657299
534.356173,-8216.285956,1036.288319,536.266849
534.356489,-8068.244768,592.164754,0.000000
534.356804,-7772.162391,814.226536,-459.657299
534.357120,-8660.409521,962.267725,306.438199
534.357436,-8956.491898,1406.391290,689.485948
534.357751,-9474.636058,1850.514855,612.876398
534.358067,-9770.718434,2072.576638,1072.533697
534.358383,-9918.759623,1776.494261,1149.143247
534.358699,-10658.965565,2516.700203,1072.533697
534.359014,-11029.068536,3404.947333,1455.581446
534.359330,-11103.089130,3552.988522,1608.800546
534.359646,-11177.109724,3701.029710,2068.457845
534.359961,-11547.212695,4145.153275,1608.800546
534.360277,-11103.089130,4219.173869,919.314598
534.360593,-11325.150913,3775.050304,842.705048
534.360909,-11029.068536,3701.029710,766.095498
534.361224,-10140.821405,3034.844362,-306.438199
534.361540,-10732.986159,2812.782580,76.609550
534.361856,-10140.821405,2146.597232,-306.438199
534.362171,-9918.759623,1554.432478,-612.876398
534.362487,-9918.759623,1850.514855,-459.657299
534.362803,-10510.924376,2886.803174,-536.266849
534.363119,-9326.594869,2516.700203,-612.876398
534.363434,-9474.636058,2368.659014,-459.657299
534.363750,-9622.677246,2590.720797,0.000000
534.364066,-9844.739029,2516.700203,0.000000
534.364382,-9326.594869,2812.782580,-536.266849
534.364697,-9474.636058,2294.638420,-306.438199
534.365013,-8956.491898,2072.576638,-612.876398
534.365329,-9030.512492,2072.576638,-383.047749
534.365644,-8808.450710,1998.556043,-1149.143247
534.365960,-8660.409521,1998.556043,-459.657299
534.366276,-8734.430116,1776.494261,0.000000
534.366592,-8956.491898,1480.411884,153.219100
534.366907,-8734.430116,1258.350101,459.657299
534.367223,-10140.821405,814.226536,919.314598
534.367539,-8956.491898,666.185348,612.876398
534.367854,-9178.553681,814.226536,0.000000
534.368170,-9326.594869,666.185348,612.876398
534.368486,-8956.491898,-888.247130,1455.581446
534.368802,-9770.718434,-1184.329507,153.219100
534.369117,-9474.636058,-962.267725,-153.219100
534.369433,-9622.677246,-1406.391290,0.000000
534.369749,-9844.739029,-1924.535449,153.219100
534.370064,-9252.574275,-3404.947333,-1072.533697
534.370380,-9622.677246,-3849.070898,-383.047749
534.370696,-8956.491898,-4219.173869,-536.266849
534.371012,-9770.718434,-4293.194464,0.000000
534.371327,-9474.636058,-4145.153275,459.657299
534.371643,-9844.739029,-4737.318029,229.828649
534.371959,-8586.388927,-3552.988522,0.000000
