#time,accel_x,accel_y,accel_z
1196.912736,-11029.068536,4737.318029,-6052.154434
1196.913052,-11103.089130,4959.379811,-4979.620737
1196.913368,-11769.274478,5995.668130,-4519.963438
1196.913684,-11547.212695,4515.256246,-2221.676944
1196.914000,-10140.821405,3923.091493,-2757.943793
1196.914316,-10066.800811,2368.659014,-2221.676944
1196.914631,-9844.739029,2294.638420,-1378.971896
1196.914947,-8808.450710,444.123565,-689.485948
1196.915263,-6883.915261,-1332.370696,-2068.457845
1196.915579,-7105.977043,-2442.679609,-1302.362347
1196.915895,-7031.956449,-3404.947333,-995.924147
1196.916210,-7105.977043,-3552.988522,-229.828649
1196.916526,-7105.977043,-4737.318029,-153.219100
1196.916842,-6439.791695,-4737.318029,536.266849
1196.917158,-7254.018232,-4293.194464,1225.752797
1196.917474,-8068.244768,-3404.947333,3370.820191
1196.917789,-8512.368333,-4071.132681,4979.620737
1196.918105,-9104.533087,-4219.173869,5515.887586
1196.918421,-9178.553681,-4811.338623,6741.640382
1196.918737,-8734.430116,-4885.359217,6281.983084
1196.919053,-8808.450710,-5181.441594,6128.763984
1196.919368,-7846.182985,-5403.503377,5745.716235
1196.919684,-8808.450710,-7179.997637,5056.230287
1196.920000,-7624.121203,-4293.194464,2604.724693
1196.920316,-6809.894666,-3849.070898,1915.238745
1196.920632,-7550.100608,-3256.906145,919.314598
1196.920947,-8290.306550,-4145.153275,-1072.533697
1196.921263,-8512.368333,-3552.988522,-1302.362347
1196.921579,-9474.636058,-222.061783,-1378.971896
1196.921895,-10807.006753,1406.391290,-383.047749
1196.922211,-11473.192101,3627.009116,306.438199
1196.922527,-11843.295072,2516.700203,1915.238745
1196.922842,-12139.377449,3923.091493,689.485948
1196.923158,-13323.706956,3256.906145,0.000000
1196.923474,-11547.212695,5403.503377,76.609550
1196.923790,-12213.398043,4145.153275,-919.314598
1196.924106,-12953.603985,3330.926739,-2221.676944
1196.924421,-10807.006753,3330.926739,-3524.039291
1196.924737,-11473.192101,3552.988522,-4443.353888
1196.925053,-11325.150913,2960.823768,-5286.058936
1196.925369,-10214.842000,4885.359217,-4903.011187
1196.925685,-11547.212695,5773.606348,-5439.278036
1196.926000,-11177.109724,5181.441594,-4903.011187
1196.926316,-11103.089130,4885.359217,-3677.258390
1196.926632,-10658.965565,3627.009116,-2911.162892
1196.926948,-9622.677246,2812.782580,-2757.943793
1196.927264,-10066.800811,2220.617826,-1455.581446
1196.927579,-8956.491898,1406.391290,-536.266849
1196.927895,-8586.388927,-518.144159,-306.438199
