#time,accel_x,accel_y,accel_z
1031.723223,-14434.015869,-2664.741391,-1991.848295
1031.723539,-14359.995275,-1110.308913,-1378.971896
1031.723854,-13471.748144,-1850.514855,-1608.800546
1031.724170,-12953.603985,-1406.391290,-1915.238745
1031.724486,-13841.851115,-4367.215058,-3447.429741
1031.724802,-11695.253884,-3108.864956,-4366.744339
1031.725117,-10955.047942,-4885.359217,-5056.230287
1031.725433,-9030.512492,-4959.379811,-5898.935335
1031.725749,-10658.965565,-5921.647536,-6741.640382
1031.726065,-10214.842000,-7624.121203,-6894.859482
1031.726381,-9770.718434,-5773.606348,-6665.030833
1031.726696,-9474.636058,-5181.441594,-5975.544884
1031.727012,-10955.047942,-4737.318029,-5209.449386
1031.727328,-11621.233289,-3478.967927,-3907.087040
1031.727644,-13619.789333,-1406.391290,-3064.381992
1031.727960,-12731.542202,-1258.350101,0.000000
1031.728275,-13027.624579,148.041188,0.000000
1031.728591,-13989.892304,-1184.329507,76.609550
1031.728907,-13915.871710,0.000000,536.266849
1031.729223,-11917.315666,-1258.350101,306.438199
1031.729538,-12139.377449,-1850.514855,1532.190996
1031.729854,-12213.398043,-3478.967927,1225.752797
1031.730170,-11843.295072,-3775.050304,689.485948
1031.730486,-9474.636058,-5255.462188,-2145.067394
1031.730802,-9548.656652,-6069.688724,-4443.353888
1031.731117,-8734.430116,-3182.885551,919.314598
1031.731433,-10362.883188,-1702.473667,3677.258390
1031.731749,-11103.089130,-2072.576638,3677.258390
1031.732065,-10288.862594,-2294.638420,3524.039291
1031.732381,-10881.027347,-1184.329507,4060.306139
1031.732696,-9844.739029,-1406.391290,2528.115143
1031.733012,-10214.842000,-814.226536,4443.353888
1031.733328,-11325.150913,666.185348,4673.182538
1031.733644,-11251.130318,-1480.411884,4290.134789
1031.733960,-6439.791695,1184.329507,5132.839837
1031.734275,-7920.203579,666.185348,5439.278036
1031.734591,-7105.977043,1998.556043,5822.325785
1031.734907,-7105.977043,2442.679609,4979.620737
1031.735223,-6217.729913,1332.370696,3907.087040
1031.735538,-7254.018232,2812.782580,2987.772442
1031.735854,-5773.606348,3256.906145,3370.820191
1031.736170,-6365.771101,4663.297435,4136.915689
1031.736486,-6661.853478,4959.379811,4290.134789
1031.736802,-7254.018232,7476.080014,6971.469032
1031.737117,-7698.141797,7550.100608,6128.763984
1031.737433,-8068.244768,8660.409521,6741.640382
1031.737749,-8512.368333,7698.141797,6358.592633
1031.738065,-7920.203579,7698.141797,5669.106685
1031.738381,-7624.121203,5995.668130,5286.058936
1031.738696,-7476.080014,6735.874072,5286.058936
1031.739012,-7550.100608,4959.379811,4519.963438
1031.739328,-5995.668130,3034.844362,3447.429741
1031.739644,-7031.956449,1924.535449,1608.800546
1031.739959,-4219.173869,962.267725,2145.067394
